"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","aviti_bleed_ratio_min_pct","aviti_min_genome_coverage_pct","aviti_min_reads_per_million_filtered"
4062,21,13,2,356,14,0,61.76,100,80.88,61.76,6.49309586263716,19.9698587424178,8.29881030055676
4063,18,16,1,357,14,0,52.94,100,76.47,52.94,8.35104497389638,46.5598726889177,19.4224031349127
4064,20,14,2,356,14,0,58.82,100,79.41,58.82,7.71534783530412,27.0569718135227,15.5954455275874
4065,21,13,2,356,14,0,61.76,100,80.88,61.76,3.61780296995877,9.68151499820931,4.77489283808367
4066,21,13,3,355,14,0,61.76,100,80.88,61.76,4.66647493616976,24.1348640607151,0.779893962671235
4067,21,13,2,356,14,0,61.76,100,80.88,61.76,6.6982542082367,24.7043541284576,11.7232034928871
4068,19,15,1,357,14,0,55.88,100,77.94,55.88,1.07740341610911,43.5755314023695,19.9209492550663
4069,20,14,1,357,14,0,58.82,100,79.41,58.82,0.884168889006507,38.284331799867,13.48881801412
4070,21,13,2,356,14,0,61.76,100,80.88,61.76,4.69673046768857,15.4576469943521,18.5526364627918
4071,20,14,2,356,14,0,58.82,100,79.41,58.82,1.51496463371106,28.4734476406723,17.7212712537733
4072,19,15,1,357,14,0,55.88,100,77.94,55.88,1.13963518871199,48.9449830528875,13.2439577001967
4073,21,13,3,355,14,0,61.76,100,80.88,61.76,9.39095759941963,24.7501593401234,1.5191978521903
4074,18,16,1,357,14,0,52.94,100,76.47,52.94,5.69313758270056,48.496818910417,15.5465705806709
4075,22,12,3,355,14,0,64.71,100,82.35,64.71,7.6282034665683,1.7019099568841,5.7589927884391
4076,21,13,4,354,14,0,61.76,100,80.88,61.76,2.24341131075644,18.0607189649832,1.20448958576834
4077,21,13,3,355,14,0,61.76,100,80.88,61.76,8.57155532097747,4.52051008547784,17.5240885881147
4078,20,14,1,357,14,0,58.82,100,79.41,58.82,4.0427975599342,35.8497034251774,11.2291688454185
4079,20,14,2,356,14,0,58.82,100,79.41,58.82,4.27060383908632,27.8288525841631,3.08996666563842
4080,20,14,2,356,14,0,58.82,100,79.41,58.82,1.61544026935785,29.5935606187545,10.9067052038534
4081,21,13,2,356,14,0,61.76,100,80.88,61.76,9.53138665292331,16.1712224511924,18.8399268803601
4082,18,16,1,357,14,0,52.94,100,76.47,52.94,7.6563724965926,47.6851732920245,7.30401545476112
4083,20,14,2,356,14,0,58.82,100,79.41,58.82,1.4613558091233,30.9323984067073,1.44214859984419
4084,18,16,1,357,14,0,52.94,100,76.47,52.94,9.45828876930152,48.4253772864122,10.175715799993
4085,22,12,3,355,14,0,64.71,100,82.35,64.71,1.23139718511668,23.2752754331676,4.03026705838125
4086,20,14,1,357,14,0,58.82,100,79.41,58.82,9.82374668806379,33.9826862562497,19.6019605106381
4087,18,16,1,357,14,0,52.94,100,76.47,52.94,1.5723161576662,49.2255703128667,0.347565019029472
4088,20,14,2,356,14,0,58.82,100,79.41,58.82,3.2455626861556,32.5498638658016,19.2923750670661
4089,21,13,2,356,14,0,61.76,100,80.88,61.76,2.73840823185581,6.11345297246787,11.9337177448951
4090,21,13,2,356,14,0,61.76,100,80.88,61.76,9.5502621698122,22.5551099949946,13.8736017055726
4091,21,13,3,355,14,0,61.76,100,80.88,61.76,7.22168505122887,3.46357128527295,12.4712630710317
4092,21,13,2,356,14,0,61.76,100,80.88,61.76,7.26720676290595,24.1608076163761,8.02356036947975
