"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","ont_bleed_ratio_min_pct","ont_min_nb_reads","ont_min_genome_coverage_pct"
47234,13,21,3,355,14,0,38.24,100,69.12,38.24,6.86868715761316,29,30.5525796453303
47235,13,21,6,352,14,0,38.24,100,69.12,38.24,4.53273628172278,63,6.43151626216085
47236,12,22,3,355,14,0,35.29,100,67.65,35.29,0.559821193428407,12,37.9812375643644
47237,13,21,3,355,14,0,38.24,100,69.12,38.24,7.34980076221616,26,33.0884874324356
47238,12,22,3,355,14,0,35.29,100,67.65,35.29,2.87823924300454,42,43.3850443402706
47239,12,22,3,355,14,0,35.29,100,67.65,35.29,9.92592561375191,85,32.8692883538347
47240,11,23,3,355,14,0,32.35,100,66.18,32.35,5.30652314239957,85,48.8473185270237
47241,11,23,3,355,14,0,32.35,100,66.18,32.35,6.91876634649222,78,37.8563654200723
47242,12,22,4,354,14,0,35.29,100,67.65,35.29,0.739090224541165,78,12.0386843155221
47243,13,21,4,354,14,0,38.24,100,69.12,38.24,2.83101852289995,37,13.4017736968717
47244,11,23,3,355,14,0,32.35,100,66.18,32.35,1.06846953819243,66,40.9664775141234
47245,12,22,4,354,14,0,35.29,100,67.65,35.29,4.82796643570901,70,20.7268350848447
47246,15,19,4,354,14,0,44.12,100,72.06,44.12,2.83099747601524,12,15.4198293529325
47247,14,20,3,355,14,0,41.18,100,70.59,41.18,5.20970230607684,8,25.8735688518145
47248,13,21,3,355,14,0,38.24,100,69.12,38.24,9.86168360439083,22,25.6212942604597
47249,11,23,3,355,14,0,32.35,100,66.18,32.35,9.26735472349846,96,26.3216892575386
47250,13,21,4,354,14,0,38.24,100,69.12,38.24,0.0933847602368565,1,46.7059025254765
47251,14,20,6,352,14,0,41.18,100,70.59,41.18,9.93903097546901,42,2.20255096233741
47252,12,22,3,355,14,0,35.29,100,67.65,35.29,2.32275425291003,25,43.4808367574345
47253,13,21,14,344,14,2,38.24,85.71,61.97,38.24,0.0487188338249689,46,8.5206851690301
47254,12,22,3,355,14,0,35.29,100,67.65,35.29,2.94682035224971,74,23.7266438388258
